_,_,util
5,0,0.00
6,1,0.05
7,0,0.00
8,1,0.05
9,0,0.00
10,0,0.00
11,1518,74.12
12,1841,89.89
13,1708,83.40
14,1832,89.45
15,0,0.00
16,0,0.00
17,0,0.00
5,0,0.00
6,1,0.05
7,0,0.00
8,1,0.05
9,0,0.00
10,0,0.00
11,1491,72.80
12,1814,88.57
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
5,0,0.00
6,1,0.05
7,0,0.00
8,1,0.05
9,0,0.00
10,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
5,0,0.00
6,1,0.05
7,0,0.00
8,1,0.05
15,1602,78.22
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
6,0,0.00
7,0,0.00
15,1499,73.19
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
15,1290,62.99
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
15,1146,55.96
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
15,1047,51.12
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
16,1329,64.89
17,1449,70.75
18,1272,62.11
19,1282,62.60
20,1225,59.81
21,1865,91.06
22,0,0.00
23,0,0.00
18,1191,58.15
19,1237,60.40
20,1149,56.10
21,1656,80.86
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
20,1111,54.25
21,1567,76.51
22,1765,86.18
23,1940,94.73
24,0,0.00
25,0,0.00
26,0,0.00
21,1545,75.44
22,1755,85.69
23,1940,94.73
24,0,0.00
25,0,0.00
26,0,0.00
27,0,0.00
21,1327,64.79
22,1598,78.03
23,1823,89.01
24,1614,78.81
25,0,0.00
26,0,0.00
27,0,0.00
21,1225,59.81
22,1448,70.70
23,1589,77.59
24,1486,72.56
25,1678,81.93
26,0,0.00
27,0,0.00
28,0,0.00
21,1135,55.42
22,1277,62.35
23,1400,68.36
24,1350,65.92
25,1523,74.37
26,0,0.00
27,0,0.00
28,0,0.00
21,1072,52.34
22,1214,59.28
23,1238,60.45
24,1179,57.57
25,1378,67.29
26,1382,67.48
27,0,0.00
28,0,0.00
29,0,0.00
23,1220,59.57
24,1178,57.52
25,1378,67.29
26,1354,66.11
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
25,1350,65.92
26,1334,65.14
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
27,1237,60.40
28,1423,69.48
29,1400,68.36
30,1510,73.73
31,1634,79.79
32,0,0.00
33,0,0.00
34,0,0.00
27,1147,56.01
28,1302,63.57
29,1256,61.33
30,1361,66.46
31,1454,71.00
32,0,0.00
33,0,0.00
34,0,0.00
27,1066,52.05
28,1221,59.62
29,1148,56.05
30,1217,59.42
31,1409,68.80
32,1251,61.08
33,0,0.00
34,0,0.00
35,0,0.00
29,1129,55.13
30,1181,57.67
31,1409,68.80
32,1228,59.96
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
31,1391,67.92
32,1218,59.47
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
37,0,0.00
33,1357,66.26
